scenario,3M,6M,1Y,2Y,5Y,10Y,30Y
152,3.955989766559219,3.992511429112643,4.134378689970064,4.381128144905465,4.552021088887833,4.772227905613087,5.2582143496723175
153,3.9387353299071903,3.99428995860686,4.167241940581968,4.433836962591432,4.5968594269499725,4.816761568100422,5.285261075096639
154,3.9500119602532484,3.989191309051408,4.169293088696442,4.433972204200252,4.653291965465169,4.833580480646706,5.284943831976371
155,3.935714103366248,3.9849357031510566,4.136109469302771,4.3938171579017995,4.586414420581408,4.838740529397652,5.307037212409019
156,3.942878929989718,4.023138849662459,4.1805646340464,4.438458533966608,4.600964307578654,4.801365526833702,5.244326466318371
157,3.9279107420981707,3.977693042859891,4.151700619321515,4.375027185117288,4.540216651525204,4.750805157952821,5.238149448706581
158,3.9248915079986286,3.984991447386014,4.1102282624923,4.340208865028797,4.509880273316105,4.750071182174382,5.2381615904873415
159,3.9865697727744407,4.032839688654754,4.188020064215663,4.439470127648817,4.598778609876445,4.851289488855926,5.328789466600598
160,3.9395148937865043,4.007469971063685,4.166509457915749,4.395524161191477,4.56815951680893,4.819466285574248,5.271827859126191
161,3.9358341833971116,3.9934920930115934,4.136544941325706,4.382419745601909,4.5712896415683195,4.7734352343495665,5.233700740536008
162,3.927141185772231,3.9930361864966026,4.141512637090077,4.421967170767643,4.605216830888288,4.794025642396802,5.236465949572171
163,3.930031347401617,3.9864452758460915,4.131634793939105,4.375297852678343,4.583677868014246,4.8125790552550916,5.286489707423447
164,3.9919641183453742,4.041806313419079,4.218884678958361,4.4943157697137925,4.669511984651555,4.8816948734237755,5.324886167140223
165,3.919394932702022,3.9846801985305826,4.123659516741657,4.348032943897622,4.522943978653417,4.759068808701427,5.241173957193657
166,3.9810559309372464,4.0173458931323855,4.108142011336282,4.378615410116222,4.562011745607541,4.820087325017138,5.247942199084198
167,3.9807560930843224,3.984030594089001,4.180952652771215,4.439820565002105,4.588147860215126,4.793165330945171,5.243949227651514
168,3.9375151694693677,4.012712096913532,4.173373590580701,4.4407967070182615,4.596074012041851,4.81826313290734,5.2296487653625725
